"filename", "language", "JavaScript", "vue", "C#", "JSON", "XML", "JSON with Comments", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Hubs\NotificationHub.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Mappers\MappingProfile.cs", "C#", 0, 0, 79, 0, 0, 0, 0, 0, 0, 7, 19, 105
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260210174101_InitialCreate.Designer.cs", "C#", 0, 0, 405, 0, 0, 0, 0, 0, 0, 2, 154, 561
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260210174101_InitialCreate.cs", "C#", 0, 0, 375, 0, 0, 0, 0, 0, 0, 3, 42, 420
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260317191627_ReadyField.Designer.cs", "C#", 0, 0, 407, 0, 0, 0, 0, 0, 0, 2, 155, 564
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260317191627_ReadyField.cs", "C#", 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 8, 66
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260320121309_pharmacyIdInUser.Designer.cs", "C#", 0, 0, 417, 0, 0, 0, 0, 0, 0, 2, 159, 578
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260320121309_pharmacyIdInUser.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 8, 49
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260324183335_MoveExpirationToStock.Designer.cs", "C#", 0, 0, 417, 0, 0, 0, 0, 0, 0, 2, 159, 578
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260324183335_MoveExpirationToStock.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 6, 42
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260327102217_UserBan.Designer.cs", "C#", 0, 0, 419, 0, 0, 0, 0, 0, 0, 2, 160, 581
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260327102217_UserBan.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 4, 30
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260330143017_pharmacyphoto.Designer.cs", "C#", 0, 0, 421, 0, 0, 0, 0, 0, 0, 2, 161, 584
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260330143017_pharmacyphoto.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260330171134_review.Designer.cs", "C#", 0, 0, 468, 0, 0, 0, 0, 0, 0, 2, 181, 651
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260330171134_review.cs", "C#", 0, 0, 66, 0, 0, 0, 0, 0, 0, 3, 7, 76
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260331135520_rejectReason.Designer.cs", "C#", 0, 0, 470, 0, 0, 0, 0, 0, 0, 2, 182, 654
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260331135520_rejectReason.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260402171719_discount.Designer.cs", "C#", 0, 0, 472, 0, 0, 0, 0, 0, 0, 2, 183, 657
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260402171719_discount.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260406144712_reminders.Designer.cs", "C#", 0, 0, 553, 0, 0, 0, 0, 0, 0, 2, 216, 771
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260406144712_reminders.cs", "C#", 0, 0, 86, 0, 0, 0, 0, 0, 0, 3, 9, 98
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260406164235_notification.Designer.cs", "C#", 0, 0, 571, 0, 0, 0, 0, 0, 0, 2, 224, 797
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\20260406164235_notification.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 4, 40
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Migrations\AppDbContextModelSnapshot.cs", "C#", 0, 0, 569, 0, 0, 0, 0, 0, 0, 1, 224, 794
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Cart.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\CartItem.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Category.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\CategoryTag.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Favorite.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\MedicationLog.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\MedicationReminder.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 11, 35
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Notification.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Order.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\OrderItem.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Pharmacy.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 9, 33
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Product.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 11, 38
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Review.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Stock.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\Tag.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Models\User.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 9, 34
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Program.cs", "C#", 0, 0, 109, 0, 0, 0, 0, 0, 0, 5, 20, 134
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Properties\launchSettings.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\CloudService.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\EmailGenerator.cs", "C#", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 14, 81
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\EmailService.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\GeocodeService.cs", "C#", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 9, 59
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\ICloudService.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\IEmailGenerator.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\IEmailService.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\IImportService.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Services\ImportService.cs", "C#", 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 61, 408
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\pharmacyBackend.csproj", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\pharmacy\frontend\pharmacy-frontend\.prettierrc.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\pharmacy\frontend\pharmacy-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 14, 39
